algo,mean_best,std_best,mean_time_sec,mean_iters
hill,7.1825,1.5005228255511478,0.04781913000770146,88.25
sa,5.6899999999999995,0.8774394566008529,0.028530779997527133,1700
ga,5.21,0.05385164807134498,1.1295343449994106,250
