experiment,best_C,threshold,test_precision,test_recall,test_f1,test_accuracy,val_precision,val_recall,val_f1,val_accuracy,train_size,validation_size,test_size
series+temper,1.0,0.5800000000000001,0.9130434782608695,0.7,0.7924528301886793,0.8253968253968254,0.9642857142857143,0.8709677419354839,0.9152542372881356,0.9206349206349206,294,63,63
series+temper+UTS,0.1,0.56,0.8928571428571429,0.8333333333333334,0.8620689655172413,0.873015873015873,1.0,0.9032258064516129,0.9491525423728814,0.9523809523809523,294,63,63
